,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
3909,Tank,0.626,0.693,11,-8.672,0,0.0624,0.0535,1.66e-05,0.144,0.554,85.152,273027,4,114.97383,10,1
4322,Cradle Of Filth,0.555,0.959,2,-4.212,0,0.0403,0.000974,0.00339,0.39,0.396,109.968,433707,4,44.07915,19,0
10858,G-Eazy Featuring Marc E. Bassy,0.586,0.525,0,-8.968,1,0.498,0.0705,0.0,0.0729,0.491,126.51,222467,4,51.48862,9,1
10689,Drake,0.586,0.909,8,-6.474,1,0.0705,0.0891,0.000109,0.119,0.757,93.394,210747,4,35.02261,12,1
10337,Shawn Mendes,0.748,0.785,10,-5.142,0,0.186,0.114,0.0,0.113,0.768,110.574,187773,3,33.94783,10,1
6086,Loren Allred,0.277,0.394,8,-8.903,1,0.0336,0.423,0.0,0.0952,0.227,86.777,207787,3,16.09036,10,1
8154,Dead Prez,0.56,0.967,9,-2.105,1,0.208,0.00229,0.0,0.386,0.287,150.071,193987,4,26.01824,8,0
8210,Darrell Mansfield,0.234,0.915,9,-1.803,1,0.07,0.0443,0.00203,0.352,0.438,96.738,181800,5,50.90129,8,0
321,Keyshia Cole,0.436,0.533,2,-4.266,0,0.0472,0.265,0.0,0.332,0.366,130.768,327693,4,219.63624,9,1
6742,Luke Combs,0.552,0.225,0,-11.501,1,0.0477,0.826,0.0,0.111,0.67,138.002,219573,4,18.8542,8,1
7582,Stutterfly,0.411,0.93,6,-3.315,0,0.0741,0.000148,4.78e-06,0.356,0.419,83.942,210360,4,36.21861,8,0
1145,Backstreet Boys,0.575,0.786,9,-4.353,1,0.0296,0.252,0.0,0.159,0.518,96.102,230093,4,38.97111,9,1
841,"DJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie",0.646,0.829,6,-1.953,0,0.147,0.0119,0.0,0.145,0.344,175.972,263133,4,59.70245,14,1
11539,Pulp,0.302,0.82,2,-7.896,1,0.0605,0.114,1.58e-06,0.0824,0.595,156.126,244827,4,38.80716,12,0
5776,Re-Con,0.352,0.962,7,-5.891,1,0.0661,0.000417,0.855,0.29,0.339,182.552,188680,4,40.78927,8,0
1429,Bonfire,0.618,0.911,1,-4.853,1,0.0523,0.00214,1.41e-05,0.357,0.483,118.028,229360,4,33.28816,12,0
2773,Uncle Kracker,0.596,0.935,2,-2.412,1,0.0741,0.127,0.0,0.294,0.912,205.984,249760,4,31.07478,11,1
7911,Marduk,0.0669,0.987,1,-4.875,0,0.106,1.03e-06,0.582,0.329,0.0342,186.27,259467,4,33.57361,15,0
3874,Ruff Endz,0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004,242560,4,31.66948,10,1
3368,Ying Yang Twins Featuring Pitbull,0.685,0.944,5,-5.19,1,0.34,0.134,0.0,0.362,0.543,128.013,214827,4,38.50058,9,1
1863,Sonny Rollins,0.551,0.667,5,-6.915,1,0.0336,0.501,0.00255,0.308,0.721,95.541,404147,4,92.82864,12,0
89,The Black Dahlia Murder,0.471,0.993,1,-3.738,1,0.191,7.36e-06,0.00216,0.0925,0.0672,113.996,217253,4,18.99449,12,0
8599,Julee Cruise,0.621,0.223,11,-17.397,1,0.0278,0.591,0.00212,0.0579,0.314,84.891,349067,4,55.32422,13,0
5020,Warcry,0.214,0.983,7,-5.443,0,0.134,6.82e-05,0.335,0.96,0.102,155.305,328284,4,27.58071,13,0
476,The American Dollar,0.117,0.0495,2,-28.552,0,0.0341,0.956,0.864,0.0985,0.122,69.638,172750,4,17.52383,12,0
10985,Luciferion,0.302,0.961,7,-11.565,1,0.161,1.86e-05,0.367,0.34,0.0387,137.649,223467,4,43.68926,5,0
11151,Sam Hunt,0.614,0.472,7,-6.626,1,0.0297,0.158,0.0,0.111,0.168,146.005,225693,4,44.62753,10,1
4831,Anuradha Paudwal,0.466,0.62,5,-12.439,0,0.0503,0.0505,6.52e-05,0.0552,0.785,81.146,293760,4,20.07762,16,0
7286,Robin Thicke,0.579,0.287,4,-13.642,0,0.0828,0.915,0.0,0.0969,0.735,187.797,213173,4,17.10822,12,1
